frequency,bandwidth
88.1,0.25
88.2,0.25
88.3,0.25
88.4,0.25
88.5,0.25
88.6,0.25
88.7,0.25
88.8,0.25
88.9,0.25
89,0.25
89.1,0.25
89.2,0.25
89.3,0.25
89.4,0.25
89.5,0.25
89.6,0.25
89.7,0.25
89.8,0.25
89.9,0.25
90,0.25
90.1,0.25
90.2,0.25
90.3,0.25
90.4,0.25
90.5,0.25
90.6,0.25
90.7,0.25
90.8,0.25
90.9,0.25
91,0.25
91.1,0.25
91.2,0.25
91.3,0.25
91.4,0.25
91.5,0.25
91.6,0.25
91.7,0.25
91.8,0.25
91.9,0.25
92,0.25
92.1,0.25
92.2,0.25
92.3,0.25
92.4,0.25
92.5,0.25
92.6,0.25
92.7,0.25
92.8,0.25
92.9,0.25
93,0.25
93.1,0.25
93.2,0.25
93.3,0.25
93.4,0.25
93.5,0.25
93.6,0.25
93.7,0.25
93.8,0.25
93.9,0.25
94,0.25
94.1,0.25
94.2,0.25
94.3,0.25
94.4,0.25
94.5,0.25
94.6,0.25
94.7,0.25
94.8,0.25
94.9,0.25
95,0.25
95.1,0.25
95.2,0.25
95.3,0.25
95.4,0.25
95.5,0.25
95.6,0.25
95.7,0.25
95.8,0.25
95.9,0.25
96,0.25
96.1,0.25
96.2,0.25
96.3,0.25
96.4,0.25
96.5,0.25
96.6,0.25
96.7,0.25
96.8,0.25
96.9,0.25
97,0.25
97.1,0.25
97.2,0.25
97.3,0.25
97.4,0.25
97.5,0.25
97.6,0.25
97.7,0.25
97.8,0.25
97.9,0.25
98,0.25
98.1,0.25
98.2,0.25
98.3,0.25
98.4,0.25
98.5,0.25
98.6,0.25
98.7,0.25
98.8,0.25
98.9,0.25
99,0.25
99.1,0.25
99.2,0.25
99.3,0.25
99.4,0.25
99.5,0.25
99.6,0.25
99.7,0.25
99.8,0.25
99.9,0.25
100,0.25
100.1,0.25
100.2,0.25
100.3,0.25
100.4,0.25
100.5,0.25
100.6,0.25
100.7,0.25
100.8,0.25
100.9,0.25
101,0.25
101.1,0.25
101.2,0.25
101.3,0.25
101.4,0.25
101.5,0.25
101.6,0.25
101.7,0.25
101.8,0.25
101.9,0.25
102,0.25
102.1,0.25
102.2,0.25
102.3,0.25
102.4,0.25
102.5,0.25
102.6,0.25
102.7,0.25
102.8,0.25
102.9,0.25
103,0.25
103.1,0.25
103.2,0.25
103.3,0.25
103.4,0.25
103.5,0.25
103.6,0.25
103.7,0.25
103.8,0.25
103.9,0.25
104,0.25
104.1,0.25
104.2,0.25
104.3,0.25
104.4,0.25
104.5,0.25
104.6,0.25
104.7,0.25
104.8,0.25
104.9,0.25
105,0.25
105.1,0.25
105.2,0.25
105.3,0.25
105.4,0.25
105.5,0.25
105.6,0.25
105.7,0.25
105.8,0.25
105.9,0.25
106,0.25
106.1,0.25
106.2,0.25
106.3,0.25
106.4,0.25
106.5,0.25
106.6,0.25
106.7,0.25
106.8,0.25
106.9,0.25
107,0.25
107.1,0.25
107.2,0.25
107.3,0.25
107.4,0.25
107.5,0.25
107.6,0.25
107.7,0.25
107.8,0.25
107.9,0.25